"game_number","alt_purple","stable_orange","stable_purple","both_stable","one_stable","other","treatmentName","bonus","writtenPlan","did_you_follow_advice","what_was_partner_advice","feedback"
"01KFEDC9FF7T49EPA99GZDGH84",0,0,0,0,1,0,"CG_cooperate",322,"lets pick A and B. its fair that way,  | We need to find parking spots that are fair to each other with regards to earnings....by picking the highest value all the time clashes will happen","yes, I feel that we both followed the advice. I did try to switch it up a bit to see if he or she would also change but I got best results when I kept my choice constant | certainly i think we worked okm as a team"," | ","no | Thank you for this invite"
"01KFEDCAVZJC7DD4AH1B24TEC6",0,0.5,0,0,0,0.5,"noCG_cooperate",381,"make sure to park in different spot | I will try to find a way both me and my partner can get equal money"," | ","always be fair | to get the most money"," | "
"01KFEDCAVZJC7DD4AH1RF6NR9W",0,0,0,0,1,0,"CG_selfish",387,"I'm gonna do it randomly, without any pattern following. | I will always park in C unless my partner keeps parking it there, if he does that, I will park in A or B","Yes. But there was no pattern, I think he was doing it randomly too. | No, we didn't made the correct choice some of the times"," | ","That game was awesome. No problem. | The webpage wasn't loading at the begining"
"01KFEDCB15BD0TYD7H0V6YZGSZ",0,0,0,0,1,0,"noCG_selfish",348,"I will try to earn the highest bonus that I can. | I will aim to park in the same spot as the other player. i would assume they will park in the highest paid spot ,so I will do the same"," | ","i have no idea | I do not know"," | It was fun.No problems at all"
"01KFEDCB197E7YMN5STVXKHS22",0,0,0,0,0,1,"noCG_cooperate",271,"I can't remember how many rounds there are...my plan is to pick A or B for half of the rounds, and then I'm going to go on C for the remainder of the rounds. My hope is that my partner will accept a 50/50 split once they've realised I'm going to be on C for the rest of the rounds if you know what I mean?  | i plan to be fair and not greedy"," | ","I honestly don't know because their choices seemed to be all over the place.  | to be fair also ","The amounts I earnt for my choices didn't seem to match up to the instructions/what was shown in the cards?\n\nI changed my gameplan whilst I was waiting for the game to start BTW. I decided that just swapping between choices B and C would be the easiest pattern for my partner to spot, and I thought it would yield us the highest points total, so I went for that.  | "
"01KFEDCB85NRAF0XG25ABR62N5",0,0,0,0,0,1,"noCG_selfish",190,"My game plan is to consistently try and pick the different colour from my partner each time. | My plan is aiming to park in different spots."," | ","The same advice that i received  | same strategy as mine"," | "
"01KFEDCC2JDADMPT5RVP2N7S0X",0,0,0.75,0,0,0.25,"CG_selfish",409,"Maximize my earning. Aim to park in C, A, B D | Considering the fact that the other player has been told to get the best outcome for themselves too, i think i'll trial the higher paying spot but then move on to the orange spots and see how that goes, rather than being greedy and clashing i'd rather get a lower pay out than none at all. ","I am not sure if we both followed the advice  | NA"," | NA","This game is affected by what my partner thinks.  | NA"
"01KFEDCC2JDADMPT5RVZQ93BA8",0,0,1,0,0,0,"noCG_cooperate",540,"I will try to predict where my partner is going to go, and not park there. | Park in different spots with the same color"," | ","Pick the same spot all the time | park in different spots same color","na | no"
"01KFEDCCBDJ82W4YK2PN7VDTAX",0,0,0.5,0,0,0.5,"noCG_selfish",340,"I will choose B, because I think the other person is going to go for C, so we will have different colors this way. Also, if the person decides to go for orange color, I think they will probably choose A. | I want to try to maximise the best points allocation but want to be mindful also. I want to try to get the best outcome for me and my partner and somehow try to work out the game play but also try to get the best amount of points and potential bonus."," | ","The same as me, trying to get the best outcome for them | I think it was try to be fair to optimise points but not to be selfish."," | "
"01KFEDCCBE716PRHN8Q6NQV6ZT",0,0,0,0,0,1,"CG_selfish",138,"I'll pick the least desirable option first and then the odd options just for probability  | i will try to avoid parking at C","NA | NA","NA | NA","NA | NA"
"01KFEDCCHH44R979H37GT2B68J",0,1,0,0,0,0,"CG_selfish",429,"I will try to get the best outcome for myself. But I also want to help my partner when possible. | I plan on parking in B","Yes, we both picked selections to maximize our own profit, while being beneficial to each other too. | Yes we seemed to be in sync"," | ","After the initial page, I waited for about 4 minutes on a blank screen, then was taken to an instruction page before loading into the game. The initial 4 minute wait I thought was a bug. | It was fun"
